Unnamed: 0,title_ru,pos_text_ru,neg_text_ru,ratingValue,bestRating,hotel,title,pos_text,neg_text
1157,Интерьер,Интерьер,"Неприятный запах канализации в номере,громкая музыка в ресторане до 12 ночи",5.0,10.0,and-restaurant-khmelnitskiy.uk.html,інтер&#39;єр,інтер&#39;єр,"Неприємний запах каналізації в номері, гучна музика в ресторані до 12 ночі"
1158,Хороший персонал,Хороший персонал,"Очень плохая шумоизоляция,кровать скрипела так что перевернуться нельзя было",6.3,10.0,and-restaurant-khmelnitskiy.uk.html,хороший персонал,хороший персонал,"Дуже погана шумоізоляція, ліжко скрипіла так що перевернутися не можна було"
1159,"Все хорошо, очень чисто, персонал приятный","Все хорошо, очень чисто, персонал приятный","Слабенькая шумоизоляция в номерах, а так на выходных постоянно свадьбы, то до поздна будет слышна музыка",8.8,10.0,and-restaurant-khmelnitskiy.uk.html,"Все добре, дуже чисто, персонал приємний","Все добре, дуже чисто, персонал приємний","слабенька шумоізоляція в номерах, а так на вихідних постійно весілля, то до пізнав буде чути музику"
1160,"Новые номера, чисто, уютно, приветливо, удобно.","Новые номера, чисто, уютно, приветливо, удобно.  Еще и завтрак.",Единственным минусом является расположение. Но и то не беда.,9.2,10.0,and-restaurant-khmelnitskiy.uk.html,"Нові номери, чисто, затишно, привітно, зручно.","Нові номери, чисто, затишно, привітно, зручно. Ще й сніданок.",Єдиним мінусом є розташування. Але і то не біда.
1161,После наших жалоб после первый суток проживания на...,"После наших жалоб после первый суток проживания на шумоизоляцию номера и холод персонал переселил в номер классом выше, принесли обогреватель, персонал очень приятный","Жуткий холод в номере
Протекающее мансардное окно, через которое всю ночь был слышен транспорт несущийся по трассе
Очень узкие кровати и жуткие матрасы",5.4,10.0,black-castle.uk.html,Після наших скарг після перший діб проживання на ...,"Після наших скарг після перший діб проживання на шумоізоляцію номера і холод персонал переселив в номер класом вище, принесли обігрівач, персонал дуже приємний","Страшний холод в номері протікає мансардний вікно, через яке всю ніч було чути транспорт мчить по трасі Дуже вузькі ліжка і моторошні матраци"
1162,"Все отлично 
",,"Все отлично 
Фотки в инста 
Люди спрашивают места нахождения 
Все довольни
Хотів би номер власника маю будову і маю план на розширення вашого бізнесу",10.0,10.0,black-castle.uk.html,Все відмінно,Nan,Все відмінно Фотки в інстр Люди запитують місця знаходження Всі довольно Хотів би номер власника травня будову и маю план на Розширення вашого бізнесу
1163,Прекрасное место для остановки в дальней дороге.,"Прекрасное место для остановки в дальней дороге. Благодарим Booking за рекомендацию. Встретили радушно. Обстановка отеля чудесная- настоящий замок.  Ресторан при отеле- ЗАМЕЧАТЕЛЬНЫЙ. Обстановка домашняя. Блюда вкусные, подача красивая. Нам очень понравился отель.","Я даже не знаю, что можно улучшить.  Может быть добавить в ванную шампунь, гель для душа.э",9.2,10.0,black-castle.uk.html,Прекрасне місце для зупинки в далекій дорозі.,"Прекрасне місце для зупинки в далекій дорозі . Дякуємо Booking за рекомендацію . Зустріли привітно . Обстановка готелю чудесна - справжній замок . Ресторан при готелі - чудовий . Обстановка домашня . Страви смачні, подача красива . Нам дуже сподобався готель.","Я навіть не знаю, що можна поліпшити. Може бути додати в ванну шампунь, гель для душа.е"
1164,"чистые,в необычных стилях, номера.живописный  вид.","завтрак отличный,с комплиментом от заклада. вид из номера потрясающий. хорошая кухня.","жену испугал подъм к гостиннице,он крут.мы заезжали летом и без проблем,зимой сложно сказть",10.0,10.0,black-castle.uk.html,"чисті, в незвичайних стилях, номера . живописний вид.","сніданок відмінний, з компліментом від застави. вид з номера приголомшливий. хороша кухня.","дружину налякав под & #39; м до готелі, він Крут . ми заїжджали влітку і без проблем, взимку складно сказать"
1165,Вкусный завтрак.,Вкусный завтрак. Красивый интерьер комнат. На территории отеля есть парковка для авто,"В комнатах холодно, выдали обогреватели, которые очень шумно работают и не дают уснуть. Нужно выбирать, или спать в холоде, или не спать, но в тепле)) Горячую воду нужно ждать 5-10 минут, сначала подается холодная вода из крана, потом теплая, ржавая вода и уже после появляется горячая. Плазма на стене ну очень маленького размера... (и это в номере за 1100 грн в сутки)",5.8,10.0,black-castle.uk.html,Смачний сніданок.,Смачний сніданок. Красивий інтер&#39;єр кімнат. На території готелю є парковка для авто,"У кімнатах холодно, видали обігрівачі, які дуже шумно працюють і не дають заснути. Потрібно вибирати, або спати в холоді, чи не спати, але в теплі)) Гарячу воду потрібно чекати 5-10 хвилин, спочатку подається холодна вода з крана, потім тепла, іржава вода і вже після з&#39;являється гаряча. Плазма на стіні ну дуже маленького розміру ... (і це в номері за 1100 грн на добу)"
1166,"Ресторан и атмосфера, но не отель.","Отличный ресторан, в котором прекрасная подача и очень вежливый персонал.","В отеле кроме внешнего вида нет ничего. Грязно в номере, паутина в туалете. Тапочки и полотенце упорно «забывают выдать», даже сломанный душ в Люксе. А Плазма 17 дюймов, в люксе? Вообще смешно.",5.8,10.0,black-castle.uk.html,"Ресторан і атмосфера, але не готель.","Відмінний ресторан, в якому прекрасна подача і дуже ввічливий персонал.","У готелі крім зовнішнього вигляду немає нічого. Брудно в номері, павутина в туалеті. Тапочки і рушник наполегливо «забувають видати», навіть зламаний душ в люксі. А Плазма 17 дюймів, в люксі? Взагалі смішно."
1167,"В следующий приезд в Ивано-Франковск обязательно остановлюсь в ""Черном замке""","Отдыхаю в этом отеле второй раз. Первый раз понравилось, но немножко испортил отзыв шум на ресепшн. Сейчас же тишина поразила, ну а отель, его дизайн и обслуживание на высшем уровне. Завтрак- восхитительный.","Не хватает прикроватных тумбочек, но может так было задумано.",9.6,10.0,black-castle.uk.html,У наступний приїзд до Івано - Франківська обов & #39; язково зупинюся в & quota; Чорному замку & quota ;,"Відпочиваю в цьому готелі вдруге. Перший раз сподобалося, але трошки зіпсував відгук шум на ресепшн. Зараз же тиша вразила, ну а готель, його дизайн і обслуговування на вищому рівні. Сніданок чудовий.","Бракує тумбочці, але може так було задумано."
1168,Отель для транзита. ,Было тепло. Нормально работал Wi-Fi.,"В номере было всего по одному полотенцу на человека. После бронирования перезвонили и сказали, что номер будет стоить на 80 грн дороже?!",6.7,10.0,black-castle.uk.html,Готель для транзиту.,Було тепло. Нормально працював Wi-Fi.,"У номері було всього по одному рушнику на людину. Після бронювання передзвонили і сказали, що номер буде коштувати на 80 грн дорожче ?!"
1169,"Когда отель не поддерживают, время делает своё дело и условия становятся хуже.",,"До этого был в этом отеле 2 раза, 3 и 6 лет назад. За это время лучше не стало, время делает своё дело, особенно когда не поддерживается. Было холодно. Кровати ужасно не удобные. Завтрак не впечатлил.",4.2,10.0,black-castle.uk.html,"Коли готель не підтримують, час робить свою справу і умови стають гірше.",Nan,"До цього був в цьому готелі 2 рази, 3 і 6 років тому. За цей час краще не стало, час робить свою справу, особливо коли не підтримується. Було холодно. Ліжка страшенно не зручні. Сніданок не вразив."
1170,Интересное оформление,Интересное оформление,"Написали что номер подходит для ребёнка и двоих взрослых, но в итоге они сказали что доп место для ребёнка 250 грн, нет то пускай она спит на двуспальной кровати с родителями. В завтрак ребека тоже не включили, хотите за 80 грн сверху. И что размещение с ребёнком возможно только в случае если взять двух комнатный номер, что дороже в три раза. В кровате были пружины которые давили в спину.",5.8,10.0,black-castle.uk.html,цікаве оформлення,цікаве оформлення,"Написали що номер підходить для дитини і двох дорослих, але в підсумку вони сказали що додаткове місце для дитини 250 грн, немає то нехай вона спить на спальному ліжку з батьками . У сніданок Ребека теж не включили, хочете за 80 грн зверху . І що розміщення з дитиною можливо тільки в разі якщо взяти двох кімнатний номер, що дорожче в три рази . У ліжку були пружини які давили в спину."
1171,"У отеля очень интересный,необычный интерьер.","У отеля очень интересный,необычный интерьер.Все очень чисто.Красивый ресторан.","Администратор очень не приветливая.И хотелось бы хотя бы тумбочки прикроватные,очень неудобно без них и бутылочка воды для стандарта не помешала бы.",6.7,10.0,black-castle.uk.html,"У готелю дуже цікавий, незвичайний інтер&#39;єр.","У готелю дуже цікавий, незвичайний Интерьер . Все дуже місто . красивий ресторан.","Адміністратор Дуже не Прістлі . І хотілося б хоча б тумбочки ліжкові, дуже незручно без них і пляшка води для стандарту не завадила б."
1172,Останавливалась в отеле в декабре 2018.,"Останавливалась в отеле в декабре 2018. В номерах чисто, завтраки не плохие( но их нужно выбрать с вечера), персонал приветливый","В номере было очень холодно и не спасал даже обогреватель который нам предоставили, ещё одним минусом оказалось наличие 1 полотенца на человека.",7.5,10.0,black-castle.uk.html,Зупинялася в готелі в грудні 2018.,"Зупинялася в готелі в грудні 2018. У номерах чисто, сніданки не погані (але їх потрібно вибрати з вечора), персонал привітний","У номері було дуже холодно і не рятував навіть обігрівач який нам надали, ще одним мінусом виявилася наявність 1 рушники на людину."
1173,"Из плюсов - в номере есть холодильник, работает телевизор.","Из плюсов - в номере есть холодильник, работает телевизор. Интересный интерьер.","Не понравилось, что за услуги, которые должны были быть включены в стоимость номера, пришлось платить дополнительно (например, наличие стаканов в номере). По моему мнению, это вовсе не клиентоориентированный подход, а просто способ дополнительно заработать в праздники. Об этом нужно было предупредить заранее, если уж это платная услуга, а не ставить перед фактом. Очень некрасиво.",5.4,10.0,black-castle.uk.html,"З плюсів - в номері є холодильник, працює телевізор.","З плюсів - в номері є холодильник, працює телевізор. Цікавий інтер&#39;єр.","Не сподобалося, що за послуги, які повинні були бути включені у вартість номера, довелося платити додатково (наприклад, наявність склянок в номері). На мою думку, це зовсім не об'єктно-орієнтований підхід, а просто спосіб додатково заробити в свята . Про це потрібно було попередити заздалегідь, якщо вже це платна послуга, а не ставити перед фактом . Дуже негарно."
1174,Название - Замок звучит многообещающе.,Название - Замок звучит многообещающе....,"Сервис, чистота, работоспособность душа и т.д. Но более всего это отличие цены в Букинге и в отеле, по приезде цена почему то выросла...",2.9,10.0,black-castle.uk.html,Назва - Замок звучить багатообіцяюче.,Назва - Замок звучить багатообіцяюче ....,"Сервіс, чистота, працездатність душа і т . д . Але більш за все ця відмінність ціни в Букін і в готелі, після приїзду ціна чомусь виросла ..."
1175,Могло бы быть Лучше!,"Очень красивое место
Соотношение цены и качества 
В номере было чисто,что радует.","Отсутствие информативности со стороны персонала. 
Отсутствие информации про завтрак 
Который идёт в стоимости номера.
То есть,мы на него не успели, коль не владели информацией.
Хоть при заселение они спросили что на этот завтрак!
После того как я понял что мы не сможем поесть 
Я сделал заказ в ресторане при отеле 
Прождал 40 минут 
За которые бы смог доехать до города и поесть!",7.1,10.0,black-castle.uk.html,Могло б бути Краще!,"Дуже красиве місце Співвідношення ціни та якості У номері було чисто, що радує.","Відсутність інформативності з боку персоналу. Відсутність інформації про сніданок Який йде в вартості номера. Тобто, ми на нього не встигли, коли не володіли інформацією. Хоч при заселення вони запитали що на цей сніданок! Після того як я зрозумів що ми не зможемо поїсти Я зробив замовлення в ресторані при готелі Чекав 40 хвилин За які б зміг доїхати до міста і поїсти!"
1176,Понравилось все!Буду рекомендовать своим друзьям!!!,"Все продумано до мелочей!!!колоритное место!!!переносишся в другую эпоху!!!по богатому оформлен ресторан,а завтраки—это фантастика!!!Все свежее и вкусно очень!!!!Порции просто огромные!!Спасибо шеф—повару!!!на ресепшене приятная барышня!!!Спасибо всем за гостеприимство!!!",,9.6,10.0,black-castle.uk.html,Сподобалося все! Буду рекомендувати своїм друзям !!!,"Все продумано до дрібниць!!! колоритне місце!!! переносився в іншу епоху!!! по багатому оформлений ресторан, а сніданки - це фантастика!!! Все свіже і смачно дуже!!!! Порції просто величезні!! Спасибі шеф - кухарю!!! на ресепшені приємна панянка!!! Дякую всім за гостинність!!!",Nan
1177,Превзошел все ожидания.,"Превзошел все ожидания. Очень крутой дизайнерский отель. Как будто попадаешь в настоящий замок. Персонал приветливый, чистые номера и комфортная постель, качественная мебель. В комнате был холодильник. В стоимость входил очень хороший завтрак и кофе или чай на выбор. Будете проезжать мимо, обязательно остановитесь посмотреть на это необычно место, мои наилучшие реккомендации.",,10.0,10.0,black-castle.uk.html,Перевершив всі очікування.,"перевершив всі очікування . Дуже крутий дизайнерський готель . Як ніби потрапляєш в справжній замок . Персонал привітний, чисті номери і комфортна ліжко, якісні меблі . У кімнаті був холодильник . У вартість входив дуже хороший сніданок і каву або чай на вибір . Будете проїжджати мимо, обов & #39; язково зупиніться подивитися на це незвично місце, мої найкращі рекомендації.",Nan
1178,Отличный отель.,Отличный отель. Прекрасный номер. Для нас было важно - стоянка на территории. Ресторан - просто супер! Заказали там отличный ужин. Встретили нас очень приветливо! Завтрак тоже очень порадовал! Спасибо за прием!,,10.0,10.0,black-castle.uk.html,Відмінний готель.,Відмінний готель. Прекрасний номер. Для нас було важливо - стоянка на території. Ресторан - просто супер! Замовили там відмінний вечерю. Зустріли нас дуже привітно! Сніданок теж дуже порадував! Спасибі за прийом!,Nan
1179,Нормальное место если не критична работа Wi-Fi,Удобное месторасположение. Хорошая парковка. Нет проблем с документами и оплатой. Вкусный завтрак. Нормальный номер. Красивая территория.,"УЖАСНАЯ работа Wi-Fi. Толстые стены между номерами, а роутеров мало. Если нужно работать через интернет - не выбирайте отель - 100% будут проблемы и их не решит персонал. Если на завтрак хотите кофе с молоком - доплатите еще сколько-то денег.Кофе предложат, а вот молоко за доплату :)",7.9,10.0,black-castle.uk.html,Нормальне місце якщо не критична робота Wi-Fi,Зручне місце розташування. Хороша парковка. Немає проблем з документами і оплатою. Смачний сніданок. Нормальний номер. Красива територія.,"жахлива робота Wi - Fi . Товсті стіни між номерами, а родстерів мало . Якщо потрібно працювати через Інтернет - не вибирайте готель - 100% будуть проблеми і їх не вирішить персонал . Якщо на сніданок хочете кави з молоком - доплатити ще скільки - то денег . Кофе запропонують, а ось молоко за доплату: )"
1180,Интересный отель в плане оформления.,"Интересный отель в плане оформления. Все стилизированно под замок – и территория, и номера, и зоны отдыха в отеле, и ресторан. Очень повезло, что были в будний день – отель был заполнен не полностью, имели возможность все рассмотреть и везде побывать. Персонал отзывчивый, хороший сытный завтрак.  Один из немногих отелей, в котором в номере за приемлемую цену есть не только полотенца, но и халаты.  Удобен для тех, кто путешествует на машине, так как находится за городом.",Увеличить количество розеток в номере,10.0,10.0,black-castle.uk.html,Цікавий готель в плані оформлення.,"Цікавий готель в плані оформлення. Все стилізовані під замок - і територія, і номери, і зони відпочинку в готелі, і ресторан. Дуже пощастило, що були в будній день - готель був заповнений не повністю, мали можливість все розглянути і всюди побувати. Персонал чуйний, добрий ситний сніданок. Один з небагатьох готелів, в якому в номері за прийнятну ціну є не тільки рушники, а й халати. Зручний для тих, хто подорожує на машині, так як знаходиться за містом.",Збільшити кількість розеток в номері
1181,"Очень достойное место, все супер.","Очень достойное место, все супер. Завтрак удивил своей подачей(красиво), очень вкусно, быстро и питательно! Что бы там ни писали.  Очень понравилось , не смотря на дождь. Рекомендую!",-,9.6,10.0,black-castle.uk.html,"Дуже гідне місце, все супер.","Дуже гідне місце, все супер. Сніданок здивував своєю подачею (красиво), дуже смачно, швидко і поживно! Що б там не писали. Дуже сподобалося, не дивлячись на дощ. Рекомендую!",-
1182,Хороший отель,"Соотношение цена качество - отлично. Чистота - отлично. Обслуживание отлично. Парковка, территория - отлично.","Пишу больше в качестве рекомендации хозяевам:) Если дать 2х летнему ребенку пачку 16 фломастеров и попросить нарисовать лошадку - он ее и нарисует, разноцветную, используя все 16 цветов.  Ваш отель - то же самое. Увольте управляющего с дизайнером или отправтье их на курсы.  Итак, по порядку:) 1. Матрац никуда не годится, на таких выспаться не возможно.  2.  Изножье кровати закрывает обзор экрана телевизора - либо срежьте его либо уберите телевизор.  3. Брелок для ключа от номера весит полкило и занимает половину сумки - это лишнее, не все Ваши постояльцы фанаты культуризма. 4.  Рисунок в виде паутины с пауком на всю стену номера - это слишком даже для отеля с названием ""Черный замок"" - в номере находиться не комфортно. 5. Наклейки - рыбки в санузле:) - это гениально, все пытаются оторвать их, посмотреть что под ними. 6. Брендинг это хорошо, но в меру, у Вас брендировано слишком много всего - Ваши клиенты и так запомнили название отеля, хватит. 7. Столы в зале - за ними не реально сидеть, попробуйте сами. 8. Цены - 550 грн с завтраком (на 06.2018) как по мне мало для Вашего отеля, стоит повысить. Все эти ньюансы немного портят общее очень  позитивное впечатление от Вашего отеля, исправляйтесь.",9.2,10.0,black-castle.uk.html,Хороший готель,"Співвідношення ціна якість - відмінно. Чистота - відмінно. Обслуговування відмінно. Парковка, територія - відмінно.","Пишу більше в якості рекомендації господарям :) Якщо дати 2 х річній дитині пачку 16 фломастерів і попросити намалювати конячку - він її і намалює, різнокольорову, використовуючи всі 16 кольорів . Ваш готель - те ж саме . Звільніть керуючого з дизайнером або відправте їх на курси . Отже, по порядку :) 1 . матрац нікуди не годиться, на таких виспатися неможливо . 2 . ізнов ліжка закриває огляд екрану телевізора - або ріжте його або приберіть телевізор . 3 . брелок для ключа від номера важить півкілограма і займає половину сумки - це зайве, не всі Ваші постояльці фанати культуризму . 4 . Малюнок у вигляді павутини з павуком на всю стіну номера - це занадто навіть для готелю з назвою & quota; Чорний замок & quota; - в номері знаходитися не комфортно . 5 . Наклейки - рибки в санвузлі :) - це геніально, все намагаються відірвати їх, подивитися що під ними . 6 . Брендинг це добре, але в міру, у Вас брендованих занадто багато всього - Ваші клієнти і так запам & #39; ятали назву готелю, вистачить . 7 . Столи в залі - за ними не реально сидіти, спробуйте самі . 8 . Ціни - 550 грн зі сніданком (на 06.2002) як на мене мало для Вашого готелю, варто підвищити . Всі ці нюанси трохи псують загальне дуже позитивне враження від Вашого готелю, відправляйте."
1183,Спасибо за гостеприимство) ,"Брали двухместный номер с одной кроватью. Чисто! В номере холодильник, телевизор, кондиционер, телефон для связи с рестораном и реестрацией, балкон с видом на внутренний дворик. На территории отеля парковка. Ооочень интересный интерьер, очень приветливый персонал. В ресторане готовят просто волшебно! Порции огроменные!",,10.0,10.0,black-castle.uk.html,Дякую за гостинність),"Брали двомісний номер з одним ліжком . Чисто! У номері холодильник, телевізор, кондиціонер, телефон для зв & #39; язку з рестораном і реєстрацій, балкон з видом на внутрішній дворик . На території готелю парковка . ду-у-уже цікавий інтер & #39; єр, дуже привітний персонал . У ресторані готують просто чарівно! Порції огромное!",Nan
1184,очень красивый экстерьер/интерьер.,очень красивый экстерьер/интерьер. За недорого завтрак входит в стоимость.,"шумоизоляция, это проблема всех отелей. Этот не исключение. Не знаю считать это минусом или нет, но нам походу ""повезло"". В отель заселились поляки и администрация до 3 х ночи не могла их угомонить. Утром в виде исключения нам продлили бесплатный завтрак, на который мы опоздали.",7.1,10.0,black-castle.uk.html,дуже красивий Екстер & #39; єр / інтер & #39; єр.,дуже красивий Екстер & #39; єр / інтер & #39; єр . За недорого сніданок входить у вартість.,"шумоізоляція, це проблема всіх готелів . Цей не виняток . Не знаю вважати це мінусом чи ні, але нам походу & quota; пощастило & quota; . У готель заселилися поляки і адміністрація до 3 х ночі не могла їх вгамувати . Вранці як виняток нам продовжили безкоштовний сніданок, на який ми запізнилися."
1185,Останавливаться в следующий раз?,"Отель находится за пределами города. Что может гарантировать относительную тишину и спокойствие. Гостиница, ресторан и внутренний дворик вполнены в едином стиле. Номера просторные и чистые. Приятный и заботливый персонал.","Тишина номеров выходящих на трассу относительная, во внутреннем интерьере чувствуются мелькие недоделки: нелепые светильники, торчащие провода... Столы в ресторане неудобные.",8.3,10.0,black-castle.uk.html,Зупинятися в наступний раз?,"Готель знаходиться за межами міста. Що може гарантувати відносну тишу і спокій. Готель, ресторан і внутрішній дворик цілком в єдиному стилі. Номери просторі і чисті. Приємний і турботливий персонал.","Тиша номерів виходять на трасу відносна, у внутрішньому інтер&#39;єрі відчуваються мигцем недоробки: безглузді світильники, що стирчать дроти ... Столи в ресторані незручні."
1186,"Те кому нравятся стили старинных Замков средневековья, вам сюда!",Прикольный дизайн! Вкусный завтрак! Нету суеты находится за городом.,"Телевизор старьё, ещё и стоит на тумбочке смотреть можно только сидя на кровати, либо ставить на тумбу выше (возможно не во всех номерах). Жил 2 дня полотенце как валялись мокрые так и остались и номер не убирали. Хорошо что жил в 2-х местном был второй комплект полотенец.",7.5,10.0,black-castle.uk.html,"Ті кому подобаються стилі старовинних Замків середньовіччя, вам сюди!",Прикольний дизайн! Смачний сніданок! Нема суєти знаходиться за містом.,"Телевізор мотлох, ще й стоїть на тумбочці дивитися можна тільки сидячи на ліжку, або ставити на тумбу вище (можливо не у всіх номерах). Жив 2 дня рушник як валялися мокрі так і залишилися і номер не прибирали. Добре що жив в 2-х місцевому був другий комплект рушників."
1187,Замечательный отель в старинном стиле и внимательным...,"Замечательный отель в старинном стиле и внимательным отношением к гостям. Отменное мастерство повара в ресторане - всё вкусно, оригинально и быстро. Благодарим.",,10.0,10.0,black-castle.uk.html,Чудовий готель в старовинному стилі і уважним ...,"Чудовий готель в старовинному стилі і уважним ставленням до гостей. Відмінна майстерність кухаря в ресторані - все смачно, оригінально і швидко. Дякуємо.",Nan
1188,Советую всем заехать в Черный Замок - будете вспоминать это место всю жизнь!!!!!,"Нам нравится этот комплекс, не один раз встречали там Новый Год. Стараемся заехать хотя бы на одну ночь когда едем в Буковель. Повара виртуозы - подача завтрака и выглядит по-королевски, и на вкус - по-царски!!!","Очень жаль что закрылся спа-салон(((( мне повезло не просто увидеть, но и получить комплекс услуг в нем. Это незабываемо.....",10.0,10.0,black-castle.uk.html,Раджу всім заїхати в Чорний Замок - будете згадувати це місце все життя !!!!!,"Нам подобається цей комплекс, не один раз зустрічали там Новий Рік . Намагаємося заїхати хоча б на одну ніч коли їдемо в Буковель . Кухарі віртуози - подача сніданку і виглядає по - Королівський, і на смак - по - царський!!!","Дуже шкода що закрився спа-салон ((((мені пощастило не просто побачити, а й отримати комплекс послуг в ньому. Це незабутньо ....."
1189,Прекрасное место для отдыха в дороге.,Интересный интерьер помещений отеля.  Уютные номера со всем необходимым.Интересное решение с окном в потолке позволило насладиться звездным небом. Хороший завтрак. Приветливый персонал.,"Кровати и матрасы ""подуставшие"".",10.0,10.0,black-castle.uk.html,Прекрасне місце для відпочинку в дорозі.,Цікавий інтер & #39; єр приміщень готелю . затишні номери з усім необходим . інтересно рішення з вікном в стелі дозволило насолодитися зоряним небом . Хороший сніданок . привітний персонал.,Ліжка і матраци & quota; втомлені & quota ;.
1190,Всё очень понравилось.,"Всё очень понравилось.Красиво,уютно.Пропадаешь в другую эпоху.Завтрак,действительно отличный.Обслуживание персонала-очень вежливые.Приятно когда тебя с 3 ночи встречают улыбкой.Ресепшн круглосуточный.Кроме того что не в городе,нареканий нет.",,9.2,10.0,black-castle.uk.html,Все дуже сподобалося.,"Все дуже понравилось . Красів, Уютне . пропадать в іншу епоху . завтрак, дійсно фалічний . обслуживание персоналу - дуже велів . приятно коли тебе з 3 ночі зустрічають улыбкой . ресепшн кругловидий . Кроме того що не в місті, нарікань немає.",Nan
1191,Останавливался в этом отеле!,"Останавливался в этом отеле! поселили на третем этаже.Все отлично! Персонал внимательный вежливый,в номере тепло,(немного маловато освещения) Завтрак ПОРАДОВАЛ очень.",Не могу сказать как  на других этажах но в номере ( на третем  ) нет  Wi-Fi,10.0,10.0,black-castle.uk.html,Зупинявся в цьому готелі!,"зупинявся в цьому готелі! поселили на третьому Таже . Все відмінно! Персонал уважний важливий, в номері тепло, (трохи замало освітлення) Сніданок порадував дуже.",Не можу сказати як на інших поверхах але в номері (на третьому) немає Wi-Fi
