title_ru,pos_text_ru,neg_text_ru,ratingValue,bestRating,hotel,title,pos_text,neg_text
"Очень чисто , видно , что очень стараются .","Очень чисто , видно , что очень стараются . Отель понравился , для путешествующих на машине расположение в принципе не имеет решающего значения , главное чистота и уют , а здесь с этим все ОК . Рекомендую .",,9.6,10.0,mala-praha.uk.html,"Дуже чисто, видно, що дуже стараються.","Дуже чисто, видно, що дуже стараються. Готель сподобався, для подорожуючих на машині розташування в принципі не має вирішального значення, головне чистота і затишок, а тут з цим все ОК. Рекомендую.",Nan
"Если еще раз буду в Ужгороде, остановлюсь в этом отеле.","Номер чистый, в нем большая двуспальная кровать с ортопедическим матрасом, столик, небольшой шкафчик, вентилятор (очень кстати, потому что я была там в сильную жару), постельное белье и полотенца чистые, кровать удобная, имеется мыло, шампунь. Хозяйка очень любезная, приятная женщина, ненавязчивая. Небольшое неудобство состоит в том, что душ и туалет на 1-м этаже, под номером, но это мелочи, поскольку к ним ведет всего один пролет лестници. При отеле есть кафе, где можно песть. Мне этот номер обошелся в 256грн в сутки, считаю, что за такие деньги, условия просто идеальные. Отель немного удален от центра, но в шаговой доступности имеется остановка маршруток, которые едут в центр города а так же к ж\д и авто вокзалам.",У меня претензий нет.,9.6,10.0,mala-praha.uk.html,"Якщо ще раз буду в Ужгороді, зупинюся в цьому готелі.","Номер чистий, в ньому велике двоспальне ліжко з ортопедичним матрацом, столик, невелику шафку, вентилятор (дуже до речі, тому що я була там в сильну спеку), постільна білизна та рушники чисті, ліжко зручна, є мило, шампунь . Господиня дуже люб & #39; язана, приємна жінка, ненав & #39; злива . Невелика незручність полягає в тому, що душ і туалет на 1-му поверсі, під номером, але це дрібниці, оскільки до них веде лише один проліт сходи . При готелі є кафе, де можна песто . Мені цей номер обійшовся в 256 грн на добу, вважаю, що за такі гроші, умови просто ідеальні . Готель трохи віддалений від центру, але в крокової доступності є зупинка маршруток, які їдуть в центр міста а так само до ж д і авто вокзалів.",У мене претензій немає.
Уютный отель недалеко от центра,"Приветливые хозяйки говорящие на языке гостей, очень чисто, уютный дворик для отдыхающих, чайник и чашки выдаю по требованию)",В эконом-номере на двоих низкий потолок,10.0,10.0,mala-praha.uk.html,Затишний готель недалеко від центру,"Привітні господині розмовляють мовою гостей, дуже чисто, затишний дворик для відпочиваючих, чайник і чашки видаю на вимогу)",В економ-номері на двох низька стеля
"Удобное место расположения, транспортная развязка.","Удобное место расположения, транспортная развязка. Пешком к центру  мин 20, при этом путь очень интересен, можно многое увидеть и сделать хорошие фото. Очень приятная хозяйка. Уютный задней дворик с мангалом, столиками для ужина и гамаком. Номер чистый, постель свежая, двор убран. В общем атмосфера уютная и комфортная","Скрипучий пол на втором этаже и общий санузел, но за такую цену, это допустимо",9.6,10.0,mala-praha.uk.html,"Зручне місце розташування, транспортна розв&#39;язка.","Зручне місце розташування, транспортна розв & #39; язка . Пішки до центру хв 20, при цьому шлях дуже цікавий, можна багато чого побачити і зробити хороші фото . Дуже приємна господиня . Затишний задньої дворик з Мангалор, столиками для вечері і гаком . Номер чистий, ліжко свіжа, двір прибраний . Загалом атмосфера затишна і комфортна","Скрипучий пол на другому поверсі і загальний санвузол, але за таку ціну, це допустимо"
Всем своим знакомым будем рекомендовать этот отель.,"Очень комфортный отельчик, расположен прямо в центре города, а самое главное в тихом месте (для нас это было важно). Очень приветливые администраторы, в номере чисто и уютно (у нас был двухместный номер стандарт), а самое главное хозяйка отеля  Светлана предложила готовить  завтраки (не дорого но очень вкусно по домашнему) а это немало важно не надо искать завтрак по городу. Спасибо всем большое))))))",Все понравилось,9.6,10.0,mala-praha.uk.html,Всім своїм знайомим будемо рекомендувати цей готель.,"Дуже комфортний готельний, розташований прямо в центрі міста, а найголовніше в тихому місці (для нас це було важливо). Дуже привітні адміністратори, в номері чисто і затишно (у нас був двомісний номер стандарт), а найголовніше господиня готелю Світлана запропонувала готувати сніданки (не дорого але дуже смачно по домашньому) а це немало важливо не треба шукати сніданок по місту . Дякую всім велике) )) )) )",Все сподобалося
Просто шикарное жилье в замечательном месте,"Просто шикарное жилье за невысокую цену, просторно, чисто, красивый ремонт, камин, большая кухня и ванная. Во дворе автостоянка, авто можно подогнать под самое крылечко. До центра 10-15минут пешком, все очень близко. Приветливая хозяйка Любовь дала полезные рекомендации по времени пересечения границы и в результате мы ее пролетели за 45мин. Очень благодарен. Рекомендую!)",,10.0,10.0,mala-praha.uk.html,Просто шикарне житло в чудовому місці,"Просто шикарне житло за невисоку ціну, просторо, чисто, гарний ремонт, камін, велика кухня і ванна. У дворі автостоянка, авто можна підігнати під саме ганок. До центру 10-15 хвилин пішки, все дуже близько. Привітна господиня Любов дала корисні рекомендації по часу перетину кордону і в результаті ми її пролетіли за 45хв. Дуже вдячний. Рекомендую!)",Nan
Осталось ощущение скворечника.  Номер не рекомендую.,"Мы приехали в 4 утра. Нас ожидали.  Приятное постельное белье, тапочки. Чисто.","При личном общении по телефону,а также в описании - нигде не было указано,что номер расположен на заднем дворе возле хоз.помещений, мусорного бака и находится на чердаке, вверх по неудобной,узкой,крутой ,скрипящей лестнице.  Комната требует ремонта. Ужасно скрипит пол. Стены нуждаются в покраске. Для троих комната абсолютно неудобна - очень маленькая при разложенном диване ,возле шкафа мешали скаты крыши над головой  . В комнате всего 2 розетки ,даже не смогли зарядить 3 телефона. Вместо столика ,что на фото, стоит тумба с телевизором - негде было поставить ноутбук и положить личные вещи. Мы знали, что санузел вне комнаты. Но душевая абсолютно неудобная ,расположена в уголке в комнате с бассейном на 1 этаже. Брали номер чтобы поспать с 4 утра до 11. Но не удалось выспаться. Т.к. гость напротив ходил по скрипящей лестнице туда-сюда. В 5 утра в соседнем доме уже кричал петух.  Потом была уборка в комнате напротив. Звукоизоляция- ноль.  Ну, и напоследок, мы планировали позавтракать в отеле, нам отказали, не предложили даже кофе :(   Гостеприимность - ноль. Осталось ощущение скворечника.  Этот номер не рекомендую.",4.6,10.0,mala-praha.uk.html,Залишилося відчуття шпаківні. Номер не рекомендую.,"Ми приїхали в 4 ранку. Нас чекали. Приємне постільна білизна, тапочки. Чисто.","При особистому спілкуванні по телефону, а також в описі - ніде не було вказано, що номер розташований на задньому дворі біля Хозе . помещений, сміттєвого бака і знаходиться на горищі, вгору по незручною, вузької, крутий, киплячому сходах . Кімната потребує ремонту . Жахливо скрипить підлога . Стіни потребують фарбування . Для трьох кімната абсолютно незручна - дуже маленька при розкладено дивані, біля шафи заважали скати даху над головою . У кімнаті всього 2 розетки, навіть не змогли зарядити 3 телефони . Замість столика, що на фото, варто тумба з телевізором - не було де поставити ноутбук і покласти особисті речі . Ми знали, що санвузол поза кімнатою . Але душова абсолютно незручна, розташована в куточку в кімнаті з басейном на 1 поверсі . Брали номер щоб поспати з 4 ранку до 11 . Але не вдалося виспатися . Оскільки гість навпаки ходив по киплячому сходах туди - сюди . О 5 ранку в сусідньому будинку вже кричав півень . Потім була прибирання в кімнаті навпроти . звукоізоляція - нуль . Ну, і наостанок, ми планували поснідати в готелі, нам відмовили, не запропонували навіть кави: (Гостинність - нуль . Залишилося відчуття шпаківні . Цей номер не рекомендую."
"Останавливались в отеле на одну ночь, а на следующий день...","Останавливались в отеле на одну ночь, а на следующий день было желание остаться и пожить дольше в этом замечательном отеле. Администратор Светлана встретила нас как родных. Рассказала как пройти короткой дорогой в центр, в каком кафе пообедать, вечером напоила чаем. Утром накормила вкусным и сытным завтраком. Когда я оформляла, заказ администратор Люба, подробно описала номера для проживания и предложила более удобный для меня и внука. В отеле очень чисто,уютно. Класс!!!! Наташа Полтава.",,10.0,10.0,mala-praha.uk.html,"Зупинялися в готелі на одну ніч, а на наступний день ...","зупинялися в готелі на одну ніч, а на наступний день було бажання залишитися і пожити довше в цьому чудовому готелі . Адміністратор Світлана зустріла нас як рідних . Розповіла як пройти короткою дорогою в центр, в якому кафе пообідати, ввечері напоїла чаєм . Вранці нагодувала смачним і Ситник сніданком . Коли я оформляла, замовлення адміністратор Люба, докладно описала номера для проживання і запропонувала більш зручний для мене і онука . В готелі дуже чисто, затишно . Клас!!!! Наташа Полтава.",Nan
Завтрак,Завтрак,"В комнате давно не было ремонта.Покрытие полов в комнате ужасное, старый палас в пятнах. Воду не удавалось отрегулировать, мылись в контрастном душе, с крана бежала или холодная или через пару секунд горячая вода.Можна было ещё написать по поводу комнаты но это на совести хозяйки. Может кому-то нравится частный дом без ремонта но нам не понравилось. Цена качество не соответствует действительности.Если совсем негде остановится на одну ночь то можно, но проживать длительное время не комфортно.",3.3,10.0,mala-praha.uk.html,сніданок,сніданок,"У кімнаті давно не було ремонта . покриті підлог в кімнаті жахливе, старий палас в плямах . Воду не вдавалося відрегулювати, милися в контрастному душі, з крана бігла або холодна або через пару секунд гаряча вода . Можна було ще написати з приводу кімнати але це на совісті господині . Може комусь подобається приватний будинок без ремонту але нам не сподобалося . Ціна якість не відповідає действительности . Леслі зовсім ніде зупиниться на одну ніч то можна, але проживати тривалий час не комфортно."
"Чисто, аккуратно, спалось просто великолепно, приятная...","Чисто, аккуратно, спалось просто великолепно, приятная хозяйка, задний дворик как бонус.","Идти к туалету по скрепучей деревянной лестнице, боялся нарушить сон соседей)))",8.8,10.0,mala-praha.uk.html,"Чисто, акуратно, спалося просто чудово, приємна ...","Чисто, акуратно, спалося просто чудово, приємна господиня, задній дворик як бонус.","Йти до туалету по скрипучий дерев & #39; яних сходах, боявся порушити сон сусідів) ) )"
спасибо персоналу за заботу,"Очень заботливое отношение к отдыхающим. особая благодарность за душевное отношение к моим детям, доставившим им не мало хлопот.  все просьбы выполнялись моментально, всегда были рады помочь.",да даже не к чему придраться.,10.0,10.0,mala-praha.uk.html,спасибі персоналу за турботу,"Дуже дбайливе ставлення до відпочиваючих. особлива подяка за душевне ставлення до моїх дітей, який доставив їм не мало клопоту. всі прохання виконувалися миттєво, завжди були раді допомогти.",да навіть не до чого причепитися.
Если бы сауна с бассейном работали круглый год то мы бы воспользовались.,Прекрасный завтрак и хороший персонал. Машину можно поставить в закрытом дворе и есть гараж для колясок и велосипедов. Зимой работает сауна с бассейном. За такую цену просто замечательно,Крутые ступеньки на втопой этаж очень опасные и нету слолика в комнате,9.2,10.0,mala-praha.uk.html,Якби сауна з басейном працювали цілий рік то ми б скористалися.,Прекрасний сніданок і хороший персонал. Машину можна поставити в закритому дворі і є гараж для колясок і велосипедів. Взимку працює сауна з басейном. За таку ціну просто чудово,Круті сходинки на втопили поверх дуже небезпечні і немає Слобідка в кімнаті
"Один день нормально, а на несколько дней хотелось бы лучше.","Очень внимательный персонал. Кровать тоже удобная.центр Ужгорода недалеко 10-15 минут пешком. Тихий район. Рано утром пели петухи, но не очень громко. Спать не мешали.","Жили на втором этаже в мансарде, а туалет на первом. Днём с этим можно мириться, а вот ночью проблема. Нужно спускаться по крутой лестнице. Отсутствует холодильник. О",7.9,10.0,mala-praha.uk.html,"Один день нормально, а на кілька днів хотілося б краще.","Дуже уважний персонал . Ліжко теж подобная . центр Ужгорода недалеко 10-15 хвилин пішки . Тихий район . Рано вранці співали півні, але не дуже голосно . Спати не заважали.","Жили на другому поверсі в мансарді, а туалет на першому. Вдень з цим можна миритися, а ось вночі проблема. Потрібно спускатися крутими сходами. Відсутня холодильник. Про"
Очень гостеприимный и заботливый персонал.,"Очень гостеприимный и заботливый персонал.Утешили, обогрели, помогли реально.Я очень благодарно, особенно Любе. Я сама виновата, невнимательно читала условия в эконом-номере.Там крутая лестница, которая для меня создала проблемы.Но...просто самой надо быть внимательней.Уверена, что обычные номера хороши.",,8.5,10.0,mala-praha.uk.html,Дуже гостинний і турботливий персонал.,"Дуже гостинний і турботливий персонал . Утіашвілі, обігріли, допомогли реально . Я дуже вдячно, особливо Любі . Я сама винна, неуважно читала умови в економ - номер . Там круті сходи, яка для мене створила проблеми . Але...просто самій треба бути внимательно . уверена, що звичайні номери хороші.",Nan
Тихое и спокойное место недалеко от центра.,"Тихое и спокойное место недалеко от центра. Чисто и уютно, отзывчивый администратор, которая помогла нам не только с поселением, но и посоветовала, что можно интересного увидеть в городе.",,10.0,10.0,mala-praha.uk.html,Тихе і спокійне місце недалеко від центру.,"Тихе і спокійне місце недалеко від центру. Чисто і затишно, чуйний адміністратор, яка допомогла нам не тільки з поселенням, а й порадила, що можна цікавого побачити в місті.",Nan
"Хорошее, чистое и уютное место
","Хорошее, чистое и уютное место
10 минут пешком по центральной улице, недалеко находится автостанция для выезда из города к местным достопримечательностям.
Очень приветливый персонал, приняли нас широкий улыбкой)
По вопросамчто посмотреть и как добраться с радостью помогли.
Хорошее место для небольшой компании, вокруг очень тихо, свежий воздух, есть все необходимые удобства :) Также за минимальную дополнительную плату можно заказать завтрак.
У нас была компания из 4 человек, все остались довольны.",,9.6,10.0,mala-praha.uk.html,"Гарне, чисте і затишне місце","Гарне, чисте і затишне місце 10 хвилин пішки по центральній вулиці, недалеко знаходиться автостанція для виїзду з міста до місцевих визначних пам & #39; ятках . Дуже привітний персонал, взяли нас широкий посмішкою) По вопросам подивитися і як дістатися з радістю допомогли . Гарне місце для невеликої компанії, навколо дуже тихо, свіже повітря, є всі необхідні зручності :) Також за мінімальну додаткову плату можна замовити сніданок . У нас була компанія з 4 чоловік, всі залишилися задоволені.",Nan
"Не дорого, чисто, вай-фай ловит хорошо.","Не дорого, чисто, вай-фай ловит хорошо. Полотенца были чистыми..","Запах старья, далеко от вокзала и центра, душ в сауне на первом комната на втором, туалет слава Богу отдельно от сауны но тоже на первом. К гостям относиться не с радостью..  были предоставлены использованые одноразовые тапки.",5.8,10.0,mala-praha.uk.html,"Чи не дорого, чисто, вай - Фай ловить добре.","Чи не дорого, чисто, вай - Фай ловить добре . Рушники були чистими ..","Запах мотлоху, далеко від вокзалу і центру, душ в сауні на першому кімната на другому, туалет слава Богу окремо від сауни але теж на першому. До гостей відноситися не з радістю .. були надані використання одноразових тапки."
"Нас ждали, нас охраняли, нас кормили! Спасибо!!!!","Замечательный отель! Очень чисто, охраняемая парковка, тихое место, недалеко от центра, 10-15 минут ходьбы. Очень вкусные завтраки, спасибо отдельное, Светлане, за блинчики!",минусов нет,10.0,10.0,mala-praha.uk.html,"Нас чекали, нас охороняли, нас годували! Спасибі!!!!","Чудовий готель! Дуже чисто, парковка, тихе місце, недалеко від центру, 10-15 хвилин ходьби. Дуже смачні сніданки, спасибі окреме, Світлані, за млинці!",мінусів немає
"Низкая стоимость. Но в следующий раз заплачу больше в другом месте, чтобы получить больше комфорта.",Очень тепло в номере.,"Заявлено наличие парковки. Но в связи с тем, что другие гости должны приехать в 3 ночи на 3 автомобилях мне было предложено просыпаться в 3 ночи и забирать свой автомобиль, чтобы они могли заехать. При том, что я собирался выселяться в 5 утра. Альтернативой стала ночевка авто на улице. Это немного ниже моего ожидания. Еще очень удивила конструкция унитаза. Он находился на какой-то подставке и шатался.",7.1,10.0,mala-praha.uk.html,"Низька вартість. Але наступного разу заплачу більше в іншому місці, щоб отримати більше комфорту.",Дуже тепло в номері.,"Оголошене наявність парковки. Але в зв&#39;язку з тим, що інші гості повинні приїхати в 3 ночі на 3 автомобілях мені було запропоновано прокидатися в 3 ночі і забирати свій автомобіль, щоб вони могли заїхати. При тому, що я збирався виселятися в 5 ранку. Альтернативою стала ночівля авто на вулиці. Це трохи нижче мого очікування. Ще дуже здивувала конструкція унітазу. Він перебував на якийсь підставці і хитався."
Понравилось все: местонахождение гостиницы (недалеко от...,"Понравилось все: местонахождение гостиницы (недалеко от центра),не ожидали,что будут завтраки,а мы были с ребёнком,где завтрак необходим сразу же с постели) персонал добрый,отзывчивый и внимательный. Спасибо за все Любе и Светлане.",Телевизор устаревший,10.0,10.0,mala-praha.uk.html,Сподобалося все: місцезнаходження готелю (недалеко від ...,"Сподобалося все: місцезнаходження готелю (недалеко від центру), не очікували, що будуть сніданки, а ми були з дитиною, де сніданок необхідний відразу ж з ліжка) персонал добрий, чуйний і уважний. Спасибі за все Любі і Світлані.",телевізор застарілий
Рекомендую. Очень здорово. Попробуйте завтраки!,"Обслуживание и завтраки - это что-то!!! Спасибо было очень здорово! Если буду в Ужгороде и будут места снова у вас остановлюсь!! А завтраки какие - мммм. Омлет обьеденье, блинчики.... Незнаю кто у них готовит, помоему сама администратор)) но те блюда что я ел были очень вкусные - омлет так вообще кайф! А заботливость персонала - поверьте мне, я бывал во многих гостиницах, но так по-душевному ко мне отнеслись впервые!!! Очень рекомендую всем.","Не работало центральное отопление - персонал и хозяева вышли из положения при помощи электрообогревателей, но они уж очень сильно сушат воздух. Это единственное неудобство с которым мы столкнулись в Малой Праге.",8.8,10.0,mala-praha.uk.html,Рекомендую. Чудово. Спробуйте сніданки!,"Обслуговування та сніданки - це щось!!! Спасибі було дуже здорово! Якщо буду в Ужгороді і будуть місця знову у вас зупинюся!! А сніданки які - МММ . Омлет об & #39; єднані, млинчики .... незнаною хто у них готує, по - моєму сама адміністратор) ) але ті страви що я їв були дуже смачні - омлет так взагалі кайф! А дбайливість персоналу - повірте мені, я бував у багатьох готелях, але так по - душевному до мене поставилися вперше!!! Дуже рекомендую всім.","Чи не працювало центральне опалення - персонал і господарі вийшли з положення за допомогою електрообігрівачів, але вони вже дуже сильно сушать повітря. Це єдина незручність з яким ми зіткнулися в Малій Празі."
Хорошие апартаменты для комфортного размещения,"Хорошие апартаменты за нормальную стоимость. Хорошее размещение для четверых. Хороший завтрак. Администратор-замечательная, сделала наше посещение очень комфортным!",Нет,8.8,10.0,mala-praha.uk.html,Хороші апартаменти для комфортного розміщення,"Хороші апартаменти за нормальну вартість. Гарне розміщення для чотирьох. Хороший сніданок. Адміністратор-чудова, зробила наше відвідування дуже комфортним!",немає
Приветливая хозяйка.,"Приветливая хозяйка. Вкусный завтрак, в стоимость которого включен отличный кофе.В номере тепло. До центра города и до замка пешком идти 10-15 мин.",Очень крутая лестница на 2-й этаж не всем подойдет.,8.8,10.0,mala-praha.uk.html,Привітна господиня.,"Привітна господиня. Смачний сніданок, у вартість якого включено відмінний кофе.В номері тепло. До центру міста і до замку пішки йти 10-15 хв.",Дуже круті сходи на 2-й поверх не всім підійде.
Если Ужгород - то Малая Прага,"Как только вошли в здание, мы почувствовали себя как дома. Очень уютный дизайн. Камин, всякие штучки на стенах. Красотища. Прям захотелось сесть возле камина и попить горячего шоколада. Хозяйка очень вежливая. Номер прекрасный. В номере есть полотенца, мыло, шампунь и тапочки. Завтрак можно заказать на месте. Хостел прекрасный. Настоятельно рекомендую!",,9.6,10.0,mala-praha.uk.html,Якщо Ужгород - то Мала Прага,"Як тільки увійшли в будівлю, ми відчули себе як вдома . Дуже затишний дизайн . Камін, всякі штучки на стінах . красоти . прям захотілося сісти біля каміна і попити гарячого шоколаду . Господиня дуже ввічлива . Номер прекрасний . У номері є рушники, мило, шампунь і тапочки . Сніданок можна замовити на місці . Хостел прекрасний . Наполегливо рекомендую!",Nan
все отлично,"Отдыхали в конце января 2018 года. Добрались с ж/д вокзала на маршрутке, гостиница находится в частном секторе, как оказалось до центра города пешком не так уж далеко, минут 20. Снимали номер эконом-класа, видели фото на сайте, поэтому знали что ожидать. Приятно удивило, что в маленькой комнате есть все необходимое, хотя мы там только ночевали, все время занимали прогулки по городу)) Удобства были на два номера, но никаких проблем с этим не было. При желании и за доп.плату можно заказать сауну с бассейном)) Хозяйка очень приветливая, можно обращаться с любой просьбой. Во время нашего проживания, была авария в городе, перебои с водой. Так нам выдали обогреватель, чтобы ночью не замерзли, т.к. упало давление в котле. Остались очень довольны, приедем еще))","Не понравилось близлежащее расположение цыганского хутора. Этот контингент все время ""тусил"" возле близлежащих к гостинице продуктовых магазинов, немного пугало, особенно в темное время суток)) Продуктовые магазины не круглосуточные, поэтому продукты (для завтрака) приходилось закупать в центре города",9.6,10.0,mala-praha.uk.html,все відмінно,"Відпочивали в кінці січня 2018 року. Добралися з ж / д вокзалу на маршрутці, готель знаходиться в приватному секторі, як виявилося до центру міста пішки не так вже й далеко, хвилин 20. Знімали номер економ-класу, бачили фото на сайті, тому знали що очікувати. Приємно здивувало, що в маленькій кімнаті є все необхідне, хоча ми там тільки ночували, весь час займали прогулянки по місту)) Зручності були на два номери, але ніяких проблем з цим не було. При бажанні і за додаткову плату можна замовити сауну з басейном)) Господиня дуже привітна, можна звертатися з будь-яким проханням. Під час нашого проживання, була аварія в місті, перебої з водою. Так нам видали обігрівач, щоб вночі не замерзли, тому що впав тиск в котлі. Залишилися дуже задоволені, приїдемо ще))","Чи не сподобалося довколишнє розташування циганського хутора . Цей контингент весь час & quota; Тусі & quota; біля прилеглих до готелю продуктових магазинів, трохи лякало, особливо в темний час доби) ) Продуктові магазини не цілодобові, тому продукти (для сніданку) доводилося закуповувати в центрі міста"
Отличный номер за такие деньги.,"Отличный номер за такие деньги. Были даже одноразовые тапочки в номере, что большая редкость. Чисто в номере.","Вода из душа разбрызгивается по всей ванной, несмотря на шторку. Поэтому босиком там не походишь. Вентиляция не особо справляется. Перьевые подушки было бы неплохо заменить на синтепон.",9.2,10.0,mala-praha.uk.html,Відмінний номер за такі гроші.,"Відмінний номер за такі гроші. Були навіть одноразові тапочки в номері, що велика рідкість. Чисто в номері.","Вода з душа розтріскується по всій ванній, незважаючи на Шторк . Тому босоніж там не проходиш . Вентиляція не особливо справляється . Пір & #39; яні подушки було б непогано замінити на синтезом."
Отличные впечатления от проживания!,"Отличный отельчик, странно, что я ни разу за последние 5 лет его не находила в Букинге... Приходилось жить в более худших условиях... Отличное месторасположение, банные принадлежности, тепло, чисто, предоставляются завтраки. В общем- лучшее из данной ценовой категории: номер на четверых - 550 грн. За такие деньги находила гораздо худшие варианты! Парковка в закрытом дворике входит в стоимость номера. Будем теперь постоянными клиентами Малой Праги! Спасибо хозяевам! Все понравилось. Открытый очаг  в холле-просто супер. Он зимними вечерами обязательно горит!",Нет нареканий-полностью соответствует алгоритму: цена-качество!,10.0,10.0,mala-praha.uk.html,Відмінні враження від проживання!,"Відмінний готельний, дивно, що я жодного разу за останні 5 років його не знаходила в Букін...Доводилося жити в гірших умовах...Відмінне місце розташування, Газневі приналежності, тепло, чисто, надаються сніданки . Загалом - найкраще з даної цінової категорії: номер на чотирьох - 550 грн . За такі гроші знаходила набагато гірші варіанти! Парковка в закритому дворику входить у вартість номера . Будемо тепер постійними клієнтами Малої Праги! Дякую господарям! Все сподобалося . Відкритий вогнище в холі - просто супер . Він зимовими вечорами обов & #39; язково горить!",Немає нарікань-повністю відповідає алгоритму: ціна-якість!
Заселение было в 3 часа ночи.,"Заселение было в 3 часа ночи. Очень радушный администратор. Нам открыли, все показали и объяснили, а документы позволили оформить, когда проснемся.",Очень скрипучие полы в номерах над сауной. С большими сумками по узкой и крутой лестнице на второй этаж лучше не ходить. Душ в нашем домике был в одной комнате с пустым бассейном - помещение большое и зимой достаточно холодно.,8.8,10.0,mala-praha.uk.html,Заселення було о 3 годині ночі.,"Заселення було о 3 годині ночі. Дуже привітний адміністратор. Нам відкрили, всі показали і пояснили, а документи дозволили оформити, коли прокинемося.",Дуже скрипучі підлоги в номерах над сауною. З великими сумками по вузьких і крутих сходах на другий поверх краще не ходити. Душ в нашому будиночку був в одній кімнаті з порожнім басейном - приміщення велике і взимку досить холодно.
